id,taxon_id,insert_user,insert_time,update_user,update_time
2155,19324,kjartan,2013-10-25T14:47:22Z,NA,NA
2156,7952,kjartan,2013-10-25T14:47:22Z,NA,NA
2157,19325,kjartan,2013-10-25T14:47:22Z,NA,NA
2158,19326,kjartan,2013-10-25T14:47:22Z,NA,NA
2159,19327,kjartan,2013-10-25T14:47:22Z,NA,NA
2160,19328,kjartan,2013-10-25T14:47:22Z,NA,NA
2161,19329,kjartan,2013-10-25T14:47:22Z,NA,NA
2162,11333,kjartan,2013-10-25T14:47:22Z,NA,NA
2163,11334,kjartan,2013-10-25T14:47:22Z,NA,NA
2164,11335,kjartan,2013-10-25T14:47:22Z,NA,NA
2165,19330,kjartan,2013-10-25T14:47:22Z,NA,NA
2166,19331,kjartan,2013-10-25T14:47:22Z,NA,NA
2167,7986,kjartan,2013-10-25T14:47:22Z,NA,NA
2168,11337,kjartan,2013-10-25T14:47:22Z,NA,NA
2169,11338,kjartan,2013-10-25T14:47:22Z,NA,NA
2170,19332,kjartan,2013-10-25T14:47:22Z,NA,NA
2171,19333,kjartan,2013-10-25T14:47:22Z,NA,NA
2172,7987,kjartan,2013-10-25T14:47:22Z,NA,NA
2173,19334,kjartan,2013-10-25T14:47:22Z,NA,NA
2174,19335,kjartan,2013-10-25T14:47:22Z,NA,NA
2175,19336,kjartan,2013-10-25T14:47:22Z,NA,NA
2176,7577,kjartan,2013-10-25T14:47:22Z,NA,NA
2177,8021,kjartan,2013-10-25T14:47:22Z,NA,NA
2178,19337,kjartan,2013-10-25T14:47:22Z,NA,NA
2179,7533,kjartan,2013-10-25T14:47:22Z,NA,NA
2180,7531,kjartan,2013-10-25T14:47:22Z,NA,NA
2181,8085,kjartan,2013-10-25T14:47:22Z,NA,NA
2182,7875,kjartan,2013-10-25T14:47:22Z,NA,NA
2183,19338,kjartan,2013-10-25T14:47:22Z,NA,NA
2184,11340,kjartan,2013-10-25T14:47:22Z,NA,NA
2185,19339,kjartan,2013-10-25T14:47:22Z,NA,NA
2186,19340,kjartan,2013-10-25T14:47:22Z,NA,NA
2187,19341,kjartan,2013-10-25T14:47:22Z,NA,NA
2188,19342,kjartan,2013-10-25T14:47:22Z,NA,NA
2189,7677,kjartan,2013-10-25T14:47:22Z,NA,NA
2190,19343,kjartan,2013-10-25T14:47:22Z,NA,NA
2191,19344,kjartan,2013-10-25T14:47:22Z,NA,NA
2192,7700,kjartan,2013-10-25T14:47:22Z,NA,NA
2193,7702,kjartan,2013-10-25T14:47:22Z,NA,NA
2194,7876,kjartan,2013-10-25T14:47:22Z,NA,NA
2195,7877,kjartan,2013-10-25T14:47:22Z,NA,NA
2196,19345,kjartan,2013-10-25T14:47:22Z,NA,NA
2197,19346,kjartan,2013-10-25T14:47:22Z,NA,NA
2198,19347,kjartan,2013-10-25T14:47:22Z,NA,NA
2199,19348,kjartan,2013-10-25T14:47:22Z,NA,NA
2200,19349,kjartan,2013-10-25T14:47:22Z,NA,NA
2201,19350,kjartan,2013-10-25T14:47:22Z,NA,NA
2202,19351,kjartan,2013-10-25T14:47:22Z,NA,NA
2203,19352,kjartan,2013-10-25T14:47:22Z,NA,NA
2204,19353,kjartan,2013-10-25T14:47:22Z,NA,NA
2205,19354,kjartan,2013-10-25T14:47:22Z,NA,NA
2206,19355,kjartan,2013-10-25T14:47:22Z,NA,NA
2207,19356,kjartan,2013-10-25T14:47:22Z,NA,NA
2208,19357,kjartan,2013-10-25T14:47:22Z,NA,NA
2209,7532,kjartan,2013-10-25T14:47:22Z,NA,NA
2210,7454,kjartan,2013-10-25T14:47:22Z,NA,NA
2211,19358,kjartan,2013-10-25T14:47:22Z,NA,NA
2212,19359,kjartan,2013-10-25T14:47:22Z,NA,NA
2213,19360,kjartan,2013-10-25T14:47:22Z,NA,NA
2214,19361,kjartan,2013-10-25T14:47:22Z,NA,NA
2215,19362,kjartan,2013-10-25T14:47:22Z,NA,NA
2216,7878,kjartan,2013-10-25T14:47:22Z,NA,NA
2217,19363,kjartan,2013-10-25T14:47:22Z,NA,NA
2218,19364,kjartan,2013-10-25T14:47:22Z,NA,NA
2219,19365,kjartan,2013-10-25T14:47:22Z,NA,NA
2220,19366,kjartan,2013-10-25T14:47:22Z,NA,NA
2221,19367,kjartan,2013-10-25T14:47:22Z,NA,NA
2222,19368,kjartan,2013-10-25T14:47:22Z,NA,NA
2223,19369,kjartan,2013-10-25T14:47:22Z,NA,NA
2224,19370,kjartan,2013-10-25T14:47:22Z,NA,NA
2225,19371,kjartan,2013-10-25T14:47:22Z,NA,NA
2226,19372,kjartan,2013-10-25T14:47:22Z,NA,NA
2227,19373,kjartan,2013-10-25T14:47:22Z,NA,NA
2228,19374,kjartan,2013-10-25T14:47:22Z,NA,NA
2229,19375,kjartan,2013-10-25T14:47:22Z,NA,NA
2230,19376,kjartan,2013-10-25T14:47:22Z,NA,NA
2231,19377,kjartan,2013-10-25T14:47:22Z,NA,NA
2232,19378,kjartan,2013-10-25T14:47:22Z,NA,NA
2233,19379,kjartan,2013-10-25T14:47:22Z,NA,NA
2234,19380,kjartan,2013-10-25T14:47:22Z,NA,NA
2235,19381,kjartan,2013-10-25T14:47:22Z,NA,NA
2236,8098,kjartan,2013-10-25T14:47:22Z,NA,NA
2237,7397,kjartan,2013-10-25T14:47:22Z,NA,NA
2238,19382,kjartan,2013-10-25T14:47:22Z,NA,NA
2239,19383,kjartan,2013-10-25T14:47:22Z,NA,NA
2240,19384,kjartan,2013-10-25T14:47:22Z,NA,NA
2241,19385,kjartan,2013-10-25T14:47:22Z,NA,NA
2242,19386,kjartan,2013-10-25T14:47:22Z,NA,NA
2243,11341,kjartan,2013-10-25T14:47:22Z,NA,NA
2244,11343,kjartan,2013-10-25T14:47:22Z,NA,NA
2245,11342,kjartan,2013-10-25T14:47:22Z,NA,NA
2246,11344,kjartan,2013-10-25T14:47:22Z,NA,NA
2247,7543,kjartan,2013-10-25T14:47:22Z,NA,NA
2248,19387,kjartan,2013-10-25T14:47:22Z,NA,NA
2249,19388,kjartan,2013-10-25T14:47:22Z,NA,NA
2250,19389,kjartan,2013-10-25T14:47:22Z,NA,NA
2251,7342,kjartan,2013-10-25T14:47:22Z,NA,NA
2252,7478,kjartan,2013-10-25T14:47:22Z,NA,NA
2253,7479,kjartan,2013-10-25T14:47:22Z,NA,NA
2254,7293,kjartan,2013-10-25T14:47:22Z,NA,NA
2255,19390,kjartan,2013-10-25T14:47:22Z,NA,NA
2256,7374,kjartan,2013-10-25T14:47:22Z,NA,NA
2257,19391,kjartan,2013-10-25T14:47:22Z,NA,NA
2258,19392,kjartan,2013-10-25T14:47:22Z,NA,NA
2259,19393,kjartan,2013-10-25T14:47:22Z,NA,NA
2260,7879,kjartan,2013-10-25T14:47:22Z,NA,NA
2261,19394,kjartan,2013-10-25T14:47:22Z,NA,NA
2262,19395,kjartan,2013-10-25T14:47:22Z,NA,NA
2263,19396,kjartan,2013-10-25T14:47:22Z,NA,NA
2264,19397,kjartan,2013-10-25T14:47:22Z,NA,NA
2265,19398,kjartan,2013-10-25T14:47:22Z,NA,NA
2266,19399,kjartan,2013-10-25T14:47:22Z,NA,NA
2267,8073,kjartan,2013-10-25T14:47:22Z,NA,NA
2268,7697,kjartan,2013-10-25T14:47:22Z,NA,NA
2269,11346,kjartan,2013-10-25T14:47:22Z,NA,NA
2270,11345,kjartan,2013-10-25T14:47:22Z,NA,NA
2271,11347,kjartan,2013-10-25T14:47:22Z,NA,NA
2272,11348,kjartan,2013-10-25T14:47:22Z,NA,NA
2273,11350,kjartan,2013-10-25T14:47:22Z,NA,NA
2274,11351,kjartan,2013-10-25T14:47:22Z,NA,NA
2275,11352,kjartan,2013-10-25T14:47:22Z,NA,NA
2276,11353,kjartan,2013-10-25T14:47:22Z,NA,NA
2277,11354,kjartan,2013-10-25T14:47:22Z,NA,NA
2278,11355,kjartan,2013-10-25T14:47:22Z,NA,NA
2279,11356,kjartan,2013-10-25T14:47:22Z,NA,NA
2280,11357,kjartan,2013-10-25T14:47:22Z,NA,NA
2281,11358,kjartan,2013-10-25T14:47:22Z,NA,NA
2282,11359,kjartan,2013-10-25T14:47:22Z,NA,NA
2283,11361,kjartan,2013-10-25T14:47:22Z,NA,NA
2284,11349,kjartan,2013-10-25T14:47:22Z,NA,NA
2285,11367,kjartan,2013-10-25T14:47:22Z,NA,NA
2286,11369,kjartan,2013-10-25T14:47:22Z,NA,NA
2287,19400,kjartan,2013-10-25T14:47:22Z,NA,NA
2288,19401,kjartan,2013-10-25T14:47:22Z,NA,NA
2289,19402,kjartan,2013-10-25T14:47:22Z,NA,NA
2290,19403,kjartan,2013-10-25T14:47:22Z,NA,NA
2291,11362,kjartan,2013-10-25T14:47:22Z,NA,NA
2292,11363,kjartan,2013-10-25T14:47:22Z,NA,NA
2293,11364,kjartan,2013-10-25T14:47:22Z,NA,NA
2294,11366,kjartan,2013-10-25T14:47:22Z,NA,NA
2295,19404,kjartan,2013-10-25T14:47:22Z,NA,NA
2296,19405,kjartan,2013-10-25T14:47:22Z,NA,NA
2297,19406,kjartan,2013-10-25T14:47:22Z,NA,NA
2298,19407,kjartan,2013-10-25T14:47:22Z,NA,NA
2299,19408,kjartan,2013-10-25T14:47:22Z,NA,NA
2300,19409,kjartan,2013-10-25T14:47:22Z,NA,NA
2301,19410,kjartan,2013-10-25T14:47:22Z,NA,NA
2302,19411,kjartan,2013-10-25T14:47:22Z,NA,NA
2303,19412,kjartan,2013-10-25T14:47:22Z,NA,NA
2304,19413,kjartan,2013-10-25T14:47:22Z,NA,NA
2305,19414,kjartan,2013-10-25T14:47:22Z,NA,NA
2306,19415,kjartan,2013-10-25T14:47:22Z,NA,NA
2307,19416,kjartan,2013-10-25T14:47:22Z,NA,NA
2308,19417,kjartan,2013-10-25T14:47:22Z,NA,NA
2309,19418,kjartan,2013-10-25T14:47:22Z,NA,NA
2310,19419,kjartan,2013-10-25T14:47:22Z,NA,NA
2311,1006,kjartan,2013-10-25T14:47:22Z,NA,NA
2312,19420,kjartan,2013-10-25T14:47:22Z,NA,NA
2313,19421,kjartan,2013-10-25T14:47:22Z,NA,NA
2314,19422,kjartan,2013-10-25T14:47:22Z,NA,NA
2315,19423,kjartan,2013-10-25T14:47:22Z,NA,NA
2316,19424,kjartan,2013-10-25T14:47:22Z,NA,NA
2317,19425,kjartan,2013-10-25T14:47:22Z,NA,NA
2318,19426,kjartan,2013-10-25T14:47:22Z,NA,NA
2319,19427,kjartan,2013-10-25T14:47:22Z,NA,NA
2320,19428,kjartan,2013-10-25T14:47:22Z,NA,NA
2321,19429,kjartan,2013-10-25T14:47:22Z,NA,NA
2322,19430,kjartan,2013-10-25T14:47:22Z,NA,NA
2323,7672,kjartan,2013-10-25T14:47:22Z,NA,NA
2324,8074,kjartan,2013-10-25T14:47:22Z,NA,NA
2325,7586,kjartan,2013-10-25T14:47:22Z,NA,NA
2326,11373,kjartan,2013-10-25T14:47:22Z,NA,NA
2327,11374,kjartan,2013-10-25T14:47:22Z,NA,NA
2328,11375,kjartan,2013-10-25T14:47:22Z,NA,NA
2329,11380,kjartan,2013-10-25T14:47:22Z,NA,NA
2330,11378,kjartan,2013-10-25T14:47:22Z,NA,NA
2331,11379,kjartan,2013-10-25T14:47:22Z,NA,NA
2332,11381,kjartan,2013-10-25T14:47:22Z,NA,NA
2333,11382,kjartan,2013-10-25T14:47:22Z,NA,NA
2334,11384,kjartan,2013-10-25T14:47:22Z,NA,NA
2335,11385,kjartan,2013-10-25T14:47:22Z,NA,NA
2336,11386,kjartan,2013-10-25T14:47:22Z,NA,NA
2337,11388,kjartan,2013-10-25T14:47:22Z,NA,NA
2338,11383,kjartan,2013-10-25T14:47:22Z,NA,NA
