id,plot_id,image_path,comments,insert_user,insert_time,update_user,update_time
400,2964,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-43-01/IMG_3742.JPG.info,NA,na.margret,2022-11-21T11:14:01Z,NA,NA
883,3112,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external systemIMG_8858.JPG.url,NA,nna.stella,2024-10-29T15:33:31Z,NA,NA
402,2964,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-43-01/IMG_3743.JPG.info,NA,na.margret,2022-11-21T11:15:01Z,NA,NA
403,2964,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-43-01/IMG_3760.JPG.info,NA,na.margret,2022-11-21T11:15:02Z,NA,NA
404,2964,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-43-01/IMG_3763.JPG.info,NA,na.margret,2022-11-21T11:15:08Z,NA,NA
405,2967,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-42-04/IMG_3706.JPG.info,NA,na.margret,2022-11-21T14:01:00Z,NA,NA
406,2967,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-42-04/IMG_3707.JPG.info,NA,na.margret,2022-11-21T14:03:25Z,NA,NA
407,2967,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-42-04/IMG_3708.JPG.info,NA,na.margret,2022-11-21T14:03:28Z,NA,NA
408,2967,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-42-04/IMG_3709.JPG.info,NA,na.margret,2022-11-21T14:03:30Z,NA,NA
409,2967,http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Austurland/Úthérað/AL-42-04/IMG_3710.JPG.info,NA,na.margret,2022-11-21T14:03:58Z,NA,NA
